rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-06,401814602,Northern Illinois Huskies,Akron Zips,155.5,-22.5,UNDER,146.5,147.5,156.5,138,147,151,-8.851643709364026,-7.880197412341772,1.0455007481280063,-17.409820556640625,-4.467970547290861,-8.365920560852885,11.1,1648.9889985523366,1423.1018530480712,557.7829038132863,1850.5501430477293,1292.767239234443,82.46472594230217,68.56730351040696
2,2026-03-06,401851350,Presbyterian Blue Hose,Radford Highlanders,145.5,-2,OVER,151,153.5,155.5,146,152.5,149.5,5.687027131125603,8.140729739152533,9.933586243756054,0.6731414794921875,4.038620889093863,6.913878435139054,10.3,1513.9860161746974,1478.4298136169775,102.87671948599063,1561.9010168091093,1459.0242973231186,76.1250821550341,73.41353873405976
3,2026-03-06,401814603,Western Michigan Broncos,Kent State Golden Flashes,158.5,-12,UNDER,149,156,155.5,144,152.5,149.5,-9.745697314794597,-2.480828256734867,-2.9833796304739053,-14.5999755859375,-8.963265389936396,-6.113262785764732,10,1605.9438769585129,1443.1457511628937,262.75674043617164,1693.2295532777198,1430.472812841548,80.0019893208841,69.5347452891795
4,2026-03-06,401814600,Central Michigan Chippewas,Ball State Cardinals,134,-2.5,OVER,137,142.5,141,141.5,139.5,144.5,3.0083649623238955,8.45930565028641,7.063568775099611,7.7041778564453125,10.624719503432004,5.733835306305139,9,1435.1906841229586,1444.1705173049058,-47.88461722196075,1413.714098176403,1461.5987153983638,71.39389638030887,73.23082312312312
5,2026-03-06,401814601,Miami (OH) RedHawks,Ohio Bobcats,159.5,5.5,UNDER,153,154,163,153,153.5,150,-6.363656418666949,-5.626524662637678,3.690115182640426,-6.6421051025390625,-9.721546242774565,-5.995090540652313,8.7,1495.5400110951546,1690.360315782359,-372.08869910541966,1503.833137997637,1875.9218371030568,69.77040462427746,80.00804913294797
6,2026-03-06,401814598,Bowling Green Falcons,Eastern Michigan Eagles,142,4,OVER,146.5,144,144.5,143.5,145.5,147,4.493659813228533,2.180957194735697,2.710656636938438,1.6128082275390625,4.8280711171388475,3.337308503982115,7,1426.897276183775,1508.4557208378094,-168.18389498662236,1394.6091593125034,1562.7930542991255,70.79568048272051,76.03239063441832
7,2026-03-06,401851349,Longwood Lancers,UNC Asheville Bulldogs,141,-1.5,OVER,142,146,155,143.5,144,148.5,1.1342137607863378,5.003182806917664,14.00846869833623,2.761962890625,7.598011334599619,3.068698283852001,6.4,1483.269098566669,1489.7395729980865,-18.94320183264608,1516.946879747704,1535.89008158035,73.73243886985203,74.6155724647476
8,2026-03-06,401851248,West Georgia Wolves,Queens University Royals,163,-8,UNDER,157,162,165,139.5,159.5,151.5,-5.768027789585943,-1.1271752162920166,1.8595530016120563,-23.563461303710938,-11.280335681685472,-3.447601502938994,6.3,1541.647299624203,1489.8207002148845,133.9432906312568,1593.152367900709,1459.209077269452,77.42453534930392,74.29512896901059
9,2026-03-06,401823787,UNLV Rebels,San Diego State Aztecs,153,-10.5,UNDER,148.5,157,148.5,144,153,151,-4.272116581976633,3.869754269297289,-4.6354869304355475,-8.9852142333984375,-2.0870396367791955,-0.20118115633965772,6.2,1570.7799338500074,1502.2798046732855,135.69090583026718,1696.631726435857,1560.9408206055898,76.85308430937204,74.05987605384875
10,2026-03-06,401812624,Columbia Lions,Harvard Crimson,133.5,-4.5,OVER,134,139,148.5,143,136.5,150.5,0.2987955166217091,5.332412507252059,14.991292923138701,9.3668060302734375,16.808598124652804,2.815604011936898,6.1,1554.7802745200215,1532.900758033175,102.61241132086047,1659.689079631637,1557.0766683107763,75.06532773237998,75.24327039227282
11,2026-03-06,401851621,Omaha Mavericks,South Dakota Coyotes,149,3.5,OVER,154,150,155.5,146.5,152,150,4.942090054274217,0.864526242136094,6.672709502302695,-2.5606536865234375,1.0024875642748157,2.9033081482051557,6,1510.9296457390446,1497.7480950879408,-9.681908644994335,1522.047567680586,1531.7294763255802,75.5584948636731,74.44399270060171
12,2026-03-06,401851347,Gardner-Webb Runnin' Bulldogs,High Point Panthers,156,-26.75,UNDER,152.5,172.5,148.5,141,162.5,155,-3.5903984848611117,16.122086907336808,-7.94331036093584,-15.44580078125,-1.4499999999999886,6.265844211237834,5.3,1649.7172847958398,1346.8819679062972,600.7719161166433,1805.783611293693,1205.0116951770497,85.2,69.6
13,2026-03-06,401851348,Charleston Southern Buccaneers,Winthrop Eagles,162,-3.75,UNDER,161,160,158,142,160.5,152,-0.9017975603691468,-1.9379354568944223,-3.538938219664743,-19.94696044921875,-9.761992845257907,-1.4198665086317988,4.9,1579.2415095227748,1519.7803555202895,147.6509667500377,1703.7461089854842,1556.0951422354465,78.60872662229617,73.37928053244592
14,2026-03-06,401827722,UCF Knights,West Virginia Mountaineers,141,-3.5,UNDER,138.5,137.5,141.5,163,138,150.5,-2.4027183950578888,-3.5407942366830696,0.46852940647792707,21.933807373046875,9.554511786852004,-2.9717563158704934,4.7,1527.816514788287,1580.2748733232536,-85.12324658693615,1597.5735896469705,1682.6968362339064,72.52145810889081,78.03305367796119
15,2026-03-06,401851579,The Citadel Bulldogs,Chattanooga Mocs,148,-7.5,OVER,149,151.5,139,136.5,150.5,144.5,1.3712171039766474,3.7220654973177716,-8.975587679893067,-11.444549560546875,-3.049312331140584,2.5466413006471953,4.2,1464.0036171306292,1396.8829186319238,156.34947201919886,1452.2105162184992,1295.8610441993003,73.98566120756016,70.71502646129925
16,2026-03-06,401856422,Northeastern Huskies,North Carolina A&T Aggies,153,0,UNDER,150.5,155.5,148.5,135,153,144,-2.131197697691647,2.707738200596225,-4.206176087173958,-17.60693359375,-8.608292924783939,0.2882702514522748,4.1,1457.300613818921,1387.1408547638548,135.4903163342326,1424.3966682808905,1288.9063519466577,73.96711196985841,70.17459510535765
17,2026-03-06,401828462,VCU Rams,Dayton Flyers,148.5,-1.5,UNDER,145,157.5,134.5,159,151,151,-3.718784782766619,9.10688407830554,-14.199999769220227,10.510650634765625,2.5602442028985593,2.694049647769475,3.8,1594.526776278092,1623.382685320225,-39.55040870011953,1748.5565049581055,1788.1069136582253,74.10202898550725,76.9582152173913
18,2026-03-06,401818565,Pennsylvania Quakers,Brown Bears,144.5,2,UNDER,141,147.5,151,147,144.5,149,-3.4051722981102444,3.2149915381921517,6.280223674811452,2.7029571533203125,4.5569661468210825,-0.09509037995906056,3.8,1445.0226012073877,1539.1514692135154,-213.8437469407079,1410.869621313676,1624.7133682543838,72.88169723548486,76.1752689113362
19,2026-03-06,401814599,Buffalo Bulls,Toledo Rockets,153.5,-8,UNDER,150,162,155.5,143,156,152,-3.4836394523015883,8.37385456047312,2.131664906661058,-10.633193969726562,-1.5400819342763157,2.44510755408578,3.6,1526.114842635356,1506.1053358584802,95.48911650089576,1622.3816072418088,1526.892490740913,76.94001617420855,75.01990189151512
