rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-17,401856435,UMBC Retrievers,Howard Bison,140.5,0.5,OVER,143,155.5,142.5,159,149,144.5,2.3638740751392504,14.836105711502114,1.7999713168718472,18.510650634765625,4.043046712300367,8.599989893320696,11.4,-0.25,-0.05,3,1589.862665163955,1610.193517727959,-38.62890717042728,1707.1898795140658,1745.818786684493,72.53110143123834,72.01194528106203
2,2026-03-17,401858339,Davidson Wildcats,Oklahoma State Cowboys,155,-7.5,UNDER,147.5,148.5,145,135,148,145.5,-7.330406353049682,-6.307858812418658,-9.96567343963892,-20.218963623046875,-9.457884996290886,-6.81913258273417,10.6,-1,0.2,3,1519.1514774791174,1537.5465555398089,-50.57644420186784,1547.5366683140512,1598.113112515919,73.04816561914244,72.49394938456669
3,2026-03-17,401858196,Stephen F. Austin Lumberjacks,Tulsa Golden Hurricane,153,-7.5,UNDER,148.5,145,145.5,152.5,146.5,143.5,-4.737744230331941,-8.144433700331433,-7.473273357011749,-0.7248687744140625,-9.339791666666656,-6.441088965331687,10.1,-1.5,0.30000000000000004,3,1624.7953091154488,1651.119505154443,-38.33082044740968,1747.998221118048,1786.3290415654578,71.0375,72.62270833333334
4,2026-03-17,401858193,South Alabama Jaguars,Auburn Tigers,154,-17.5,UNDER,149.5,162,147,143,155.5,147,-4.746395764761957,7.958624425779675,-7.215856825647421,-11.169937133789062,-6.960107088595123,1.6061143305088592,5.1,0,0,3,1506.4260378327824,1550.653584303456,-24.310790243711608,1551.253339627667,1575.5641298713786,72.7102383452699,74.32965456613496
5,2026-03-17,401858340,UNC Wilmington Seahawks,Yale Bulldogs,147,-5.25,UNDER,141,155,153,153.5,148,144,-5.54842730233122,8.37725073518942,6.377426282153522,6.53363037109375,-2.8546270396270472,1.4144117164291004,4.2,-0.25,0.05,3,1617.2758123337935,1627.2736484065924,30.64025309774456,1762.5875628272113,1731.9473097294667,71.67614219114219,72.21923076923076
6,2026-03-17,401858195,Liberty Flames,George Mason Patriots,144.5,-4.5,UNDER,140.5,144.5,136.5,144.5,142.5,146,-3.8482648158835673,0.04749470291574198,-7.848052477448306,-0.23260498046875,1.2586279715214062,-1.9003850564839126,4,0,0,3,1572.0799626474463,1598.5054725401508,-38.786415596192455,1612.3553615274436,1651.141777123636,72.17809239087691,73.5805355806445
7,2026-03-17,401858197,UNLV Rebels,UC Irvine Anteaters,153,-2.5,OVER,153.5,155.5,146.5,145.5,154.5,147,0.7363737099419154,2.929722043677998,-6.473497937302113,-7.40557861328125,-5.53721896834486,1.8330478768099567,3.6,0.25,0.05,3,1581.283491298465,1499.9154194627756,121.56080724437606,1678.100225034243,1556.539417789867,75.9902828971738,71.22249813448134
8,2026-03-17,401856434,Texas Longhorns,NC State Wolfpack,158,-1,UNDER,156.5,167.5,157,143.5,162,149.5,-1.3665880723330304,9.557401534833218,-1.0679837001575265,-14.714553833007812,-8.699881639443447,4.09540673125008,3.5,-0.5,0.1,3,1557.9857121480834,1548.1590649074355,33.51672458950725,1683.7783268309229,1650.2616022414154,74.92442972451022,74.37568863604635
9,2026-03-17,401858194,St. Thomas-Minnesota Tommies,Seattle U Redhawks,147,-2.5,UNDER,145,147.5,143,166,146,146.5,-2.2201701699922864,0.6831631330718437,-4.132883892954197,19.210693359375,-0.48772196963687975,-0.7685035184602214,3.1,0,0,3,1545.8671541600663,1591.576174149851,-160.26359573360787,1598.6004221742694,1758.8640179078773,71.09241314841923,75.4198648819439
10,2026-03-17,401858338,Wyoming Cowboys,Wichita State Shockers,148,-6.5,OVER,148.5,143.5,141,142,146,146,0.006109630338301031,-4.818394704660136,-7.330512893936827,-6.44696044921875,-2.126996734821603,-2.4061425371609175,2.2,0,0,3,1582.649233673986,1522.1888306446278,158.26498573370463,1736.3255852656685,1578.0605995319638,75.29204984004451,70.83095342513387
