rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,elo_diff_04,market_spread_home
1,2026-03-09,401851715,Mississippi Valley State Delta Devils,Grambling Tigers,Grambling Tigers -12.5,Mississippi Valley State Delta Devils +12.5,Grambling Tigers -4,0,11,2,4,-12.5,-1.5,-10.5,-8.5,2.8,1.5,0.6,0,8.5,13.4,277.3953584187034,-12.5
2,2026-03-09,401856432,Towson Tigers,Hofstra Pride,Hofstra Pride -3.5,Hofstra Pride -3.5,Hofstra Pride -11.5,-2,21.5,13,11.5,-5.5,18,9.5,8,0.8,0,0.6,1.1,8,10.7,111.1288197345084,-3.5
3,2026-03-09,401851333,Weber State Wildcats,Eastern Washington Eagles,Eastern Washington Eagles -3,Eastern Washington Eagles -3,Eastern Washington Eagles -9.5,-1.5,12,13.5,9.5,-4.5,9,10.5,6.5,0.8,0,0.6,0.9,6.5,9.2,54.08028052448845,-3
4,2026-03-09,401851433,Detroit Mercy Titans,Robert Morris Colonials,Robert Morris Colonials -5.5,Robert Morris Colonials -5.5,Robert Morris Colonials -11,-1,16.5,14,11,-6.5,11,8.5,5.5,0.8,0,0.6,1.3,5.5,8.8,116.6552940521242,-5.5
5,2026-03-09,401851593,Furman Paladins,East Tennessee State Buccaneers,East Tennessee State Buccaneers -1,East Tennessee State Buccaneers -1,East Tennessee State Buccaneers -7,-2,5,12,7,-3,4,11,6,0.8,0,0.6,0,6,8.5,28.93258762969731,-1
6,2026-03-09,401851706,Georgia Southern Eagles,Troy Trojans,Troy Trojans -6.5,Georgia Southern Eagles +6.5,Troy Trojans -2,-3,12,-1,2,-9.5,5.5,-7.5,-4.5,1,0,0.6,1.1,4.5,7.9,75.57036890573227,-6.5
7,2026-03-09,401851759,Oregon State Beavers,Gonzaga Bulldogs,Gonzaga Bulldogs -19,Oregon State Beavers +19,Gonzaga Bulldogs -16.5,6,14.5,22.5,16.5,-13,-4.5,3.5,-2.5,1,0,0.6,0,2.5,7.7,353.16992434088843,-19
8,2026-03-09,401851760,Santa Clara Broncos,Saint Mary's Gaels,Saint Mary's Gaels -4.5,Saint Mary's Gaels -4.5,Saint Mary's Gaels -8.5,0.5,5.5,14.5,8.5,-4,1,10,4,0.8,0,0.6,0,4,7.5,103.80833524135733,-4.5
9,2026-03-09,401851607,New Orleans Privateers,Texas A&M-Corpus Christi Islanders,Texas A&M-Corpus Christi Islanders -2,Texas A&M-Corpus Christi Islanders -2,Texas A&M-Corpus Christi Islanders -6,-4,21.5,3.5,6,-6,19.5,1.5,4,0.8,0,0.6,1.2,4,7.2,46.916869628060795,-2
10,2026-03-09,401851608,Nicholls Colonels,UT Rio Grande Valley Vaqueros,UT Rio Grande Valley Vaqueros -6.5,UT Rio Grande Valley Vaqueros -6.5,UT Rio Grande Valley Vaqueros -9.5,2,20.5,7.5,9.5,-4.5,14,1,3,0.8,0,0.6,0.9,3,5.5,206.64210998773592,-6.5
11,2026-03-09,401851714,Alcorn State Braves,Alabama State Hornets,Alabama State Hornets -7,Alabama State Hornets -7,Alabama State Hornets -7.5,-2.5,12,10.5,7.5,-9.5,5,3.5,0.5,0.8,0,0.6,1.9,0.5,4.8,68.973001158648,-7
12,2026-03-09,401856431,Campbell Fighting Camels,Monmouth Hawks,Monmouth Hawks -2,Monmouth Hawks -2,Monmouth Hawks -3.5,-3.5,6.5,5,3.5,-5.5,5,3.5,1.5,0.8,0,0.6,1.1,1.5,4.6,47.2030227707985,-1.75
13,2026-03-09,401851332,Northern Colorado Bears,Montana Grizzlies,Montana Grizzlies +3.5,Northern Colorado Bears -3.5,Northern Colorado Bears -4.5,-11.5,1.5,-4.5,-4.5,-8,5,-1,-1,1,0,0.6,1,1,4.2,-150.9028175410515,3.5
14,2026-03-09,401851432,Northern Kentucky Norse,Wright State Raiders,Wright State Raiders -1.5,Northern Kentucky Norse +1.5,Wright State Raiders -1.5,-2,3.5,2,1.5,-3.5,2,0.5,-0,0.8,0,0,0,0,2.3,17.838985203096627,-1.5
