rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-14,401851386,Purdue Boilermakers,UCLA Bruins,UCLA Bruins +7.5,UCLA Bruins +7.5,UCLA Bruins -8.5,-8,5,19,8.5,-0.5,12.5,26.5,16,0.8,0,0.6,0,16,17.8,NA,0,NA,-9.578420605198062,7.5
2,2026-03-14,401851569,Vanderbilt Commodores,Florida Gators,Florida Gators -8,Florida Gators -8,Florida Gators -17,1,8,29.5,17,-7,0,21.5,9,0.8,0,0.6,1.4,9,12.5,NA,0,NA,180.9647413317639,-8
3,2026-03-14,401851415,Kennesaw State Owls,Louisiana Tech Bulldogs,Louisiana Tech Bulldogs +1.5,Louisiana Tech Bulldogs +1.5,Louisiana Tech Bulldogs -7,-7,2.5,16,7,-5.5,4,17.5,8.5,0.8,0,0.6,1.1,8.5,11.4,NA,0,NA,-0.41681959771472066,1.5
4,2026-03-14,401851228,Tulsa Golden Hurricane,Wichita State Shockers,Wichita State Shockers 0,Tulsa Golden Hurricane 0,Tulsa Golden Hurricane -6,-7.5,-0,-8.5,-6,-7.5,-0,-8.5,-6,2.8,1.5,0.6,0,6,10.9,NA,0,NA,-66.93512474487716,0
5,2026-03-14,401851183,Virginia Cavaliers,Duke Blue Devils,Duke Blue Devils -8.5,Duke Blue Devils -8.5,Duke Blue Devils -15.5,2,7,26.5,15.5,-6.5,-1.5,18,7,1,0,0,1.3,7,10.8,NA,0,NA,131.5929312242697,-8.5
6,2026-03-14,401851477,North Carolina Central Eagles,Howard Bison,Howard Bison -11,Howard Bison -11,Howard Bison -19,6.5,10,29.5,19,-4.5,-1,18,7.5,1,0,0,0.9,7.5,10.5,NA,0,NA,304.1097610282052,-11.25
7,2026-03-14,401851384,Wisconsin Badgers,Michigan Wolverines,Michigan Wolverines -12.5,Wisconsin Badgers +12.5,Michigan Wolverines -7,2,10,8,7,-10.5,-2.5,-4.5,-5.5,2.8,1.5,0.6,0,5.5,10.4,NA,0,NA,244.60036553796976,-12.5
8,2026-03-14,401851726,Prairie View A&M Panthers,Southern Jaguars,Southern Jaguars -2.5,Prairie View A&M Panthers +2.5,Prairie View A&M Panthers -2,-3,2,-3.5,-2,-5.5,-0.5,-6,-4.5,2.8,1.5,0.6,0,4.5,9.3,NA,0,NA,19.74115934385236,-2.5
9,2026-03-14,401851436,Pennsylvania Quakers,Harvard Crimson,Harvard Crimson -2.5,Pennsylvania Quakers +2.5,Pennsylvania Quakers -1.5,-3,-2.5,-0.5,-1.5,-5.5,-5,-3,-4,2.8,1.5,0.6,0,4,8.9,NA,0,NA,24.585550028976968,-2.5
10,2026-03-14,401851227,Charlotte 49ers,South Florida Bulls,South Florida Bulls -14.5,South Florida Bulls -14.5,South Florida Bulls -19,5.5,14,28,19,-9,-0.5,13.5,4.5,1,0,0,1.8,4.5,8.4,NA,0,NA,335.11081989682543,-14.5
11,2026-03-14,401851306,Houston Cougars,Arizona Wildcats,Arizona Wildcats -2.5,Arizona Wildcats -2.5,Arizona Wildcats -7.5,0,7,12,7.5,-2.5,4.5,9.5,5,0.8,0,0.6,0,5,7.8,NA,0,NA,141.33505999669978,-2.5
12,2026-03-14,401851317,UConn Huskies,St. John's Red Storm,St. John's Red Storm +3,St. John's Red Storm +3,St. John's Red Storm -2,-5,3.5,4.5,2,-2,6,7,4.5,0.8,0,0.6,0,4.5,7,NA,0,NA,29.376055672136545,2.75
13,2026-03-14,401851206,Vermont Catamounts,UMBC Retrievers,UMBC Retrievers -3.5,UMBC Retrievers -3.5,UMBC Retrievers -7.5,-1,5,12.5,7.5,-4.5,1.5,9,4,0.8,0,0.6,0.9,4,6.5,NA,0,NA,89.62376500369487,-3.5
14,2026-03-14,401851739,California Baptist Lancers,Utah Valley Wolverines,Utah Valley Wolverines -3,California Baptist Lancers +3,California Baptist Lancers -0.5,-1,5.5,-3,-0.5,-4,2.5,-6,-3.5,1,0,0.6,0,3.5,6.3,NA,0,NA,93.21047932015404,-3
15,2026-03-14,401851570,Ole Miss Rebels,Arkansas Razorbacks,Arkansas Razorbacks -8.5,Ole Miss Rebels +8.5,Arkansas Razorbacks -8,8,18.5,2.5,8,-0.5,10,-6,-0.5,1,0,0.6,2,0.5,5.3,NA,0,NA,298.9851958425147,-8.5
16,2026-03-14,401851435,Cornell Big Red,Yale Bulldogs,Yale Bulldogs -3.5,Yale Bulldogs -3.5,Yale Bulldogs -5,-0.5,7.5,6.5,5,-4,4,3,1.5,0.8,0,0.6,0,1.5,4.6,NA,0,NA,117.93000382436252,-3.5
17,2026-03-14,401858192,Toledo Rockets,Akron Zips,Akron Zips -7,Akron Zips -7,Akron Zips -8,0,9.5,11,8,-7,2.5,4,1,0.8,0,0.6,1.4,1,4.3,NA,0,NA,208.93903705613505,-7
18,2026-03-14,401851275,Dayton Flyers,Saint Louis Billikens,Saint Louis Billikens -5.5,Dayton Flyers +5.5,Saint Louis Billikens -3,-1,6,3.5,3,-6.5,0.5,-2,-2.5,1,0,0.6,0,2.5,4.2,NA,0,NA,49.94271394177508,-5.5
19,2026-03-14,401851398,Hawai'i Rainbow Warriors,UC Irvine Anteaters,UC Irvine Anteaters -2,Hawai'i Rainbow Warriors +2,UC Irvine Anteaters -1.5,-3.5,1.5,4,1.5,-6,-0.5,2,-0.5,1,0,0.6,0,0.5,4.2,NA,0,NA,69.7780912216574,-2.25
20,2026-03-14,401851276,Saint Joseph's Hawks,VCU Rams,VCU Rams -6.5,Saint Joseph's Hawks +6.5,VCU Rams -4,1.5,6.5,4,4,-5,0,-2.5,-2.5,1,0,0.6,0,2.5,4.1,NA,0,NA,136.84094130077597,-6.5
