rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo
1,2026-03-06,401851580,VMI Keydets,away,73.5,UNDER,59,68.5,69.5,-14.529611120934092,-5.213833066860232,10.8,1355.3274069762665,1483.830192674326
2,2026-03-06,401851247,Austin Peay Governors,home,80.5,OVER,96.5,78,78,16.23806810734142,-2.413976757598874,10.7,1591.1402013564052,1451.9363383922052
3,2026-03-06,401812624,Harvard Crimson,home,69,OVER,83.5,70,75,14.597650140886529,1.0573624291813815,9.2,1554.7802745200215,1532.900758033175
4,2026-03-06,401851350,Radford Highlanders,home,73.5,OVER,84,80,76,10.641073847360389,6.6214890124375785,9,1513.9860161746974,1478.4298136169775
5,2026-03-06,401851621,South Dakota Coyotes,home,73,OVER,83,77.5,75.5,9.730163834798446,4.147318279610886,7.5,1510.9296457390446,1497.7480950879408
6,2026-03-06,401851349,UNC Asheville Bulldogs,home,70,OVER,78,75.5,73.5,8.347509821812167,5.754266621784211,7.3,1483.269098566669,1489.7395729980865
7,2026-03-06,401851579,The Citadel Bulldogs,away,70,UNDER,58.5,69.5,70.5,-11.519252646895488,-0.7852289306566718,7.2,1396.8829186319238,1464.0036171306292
8,2026-03-06,401851246,Florida Gulf Coast Eagles,away,73,UNDER,66,66.5,74.5,-6.881120141948998,-6.286974902377608,6.6,1468.840043334668,1541.8606572789083
9,2026-03-06,401851624,North Dakota Fighting Hawks,home,77.5,OVER,83.5,84.5,75.5,5.736723350943279,7.064376035284269,6.3,1510.7868780056008,1506.6043060345585
10,2026-03-06,401814600,Central Michigan Chippewas,away,66,OVER,71,73.5,73,5.068213270358569,7.5989361656976655,6.1,1444.1705173049058,1435.1906841229586
11,2026-03-06,401814602,Northern Illinois Huskies,away,66,OVER,74,62.5,68.5,7.797586274488921,-3.664416333605118,6.1,1423.1018530480712,1648.9889985523366
12,2026-03-06,401814601,Ohio Bobcats,home,77,OVER,86,68.5,70,9.110879439110704,-8.657379950649712,5.9,1495.5400110951546,1690.360315782359
13,2026-03-06,401818565,Brown Bears,home,70,OVER,76,76,73,5.816452227337592,6.055972997263993,5.9,1445.0226012073877,1539.1514692135154
14,2026-03-06,401814602,Akron Zips,home,89.5,UNDER,82.5,85.5,82.5,-6.752085526360929,-4.21578107873664,5.7,1648.9889985523366,1423.1018530480712
15,2026-03-06,401828462,Dayton Flyers,home,75,UNDER,67,73.5,74,-8.071164640904001,-1.4899895298766666,5.4,1594.526776278092,1623.382685320225
16,2026-03-06,401851347,High Point Panthers,home,92.5,UNDER,85,103,85,-7.4630562230968565,10.4051467095084,5,1649.7172847958398,1346.8819679062972
17,2026-03-06,401814601,Miami (OH) RedHawks,away,82.5,UNDER,77,85.5,80,-5.670764256470278,2.7808552880120203,4.5,1690.360315782359,1495.5400110951546
18,2026-03-06,401814603,Western Michigan Broncos,away,73.5,UNDER,67.5,79.5,69.5,-6.3389167312292045,6.106838720024513,4.1,1443.1457511628937,1605.9438769585129
19,2026-03-06,401828462,VCU Rams,away,73.5,UNDER,67.5,84,77,-5.878835128316226,10.846873608182193,4.1,1623.382685320225,1594.526776278092
20,2026-03-06,401851580,UNC Greensboro Spartans,home,81,OVER,87,80,75,5.873263051718581,-0.901290239346082,3.9,1483.830192674326,1355.3274069762665
