rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-05,401851487,Evansville Purple Aces,Northern Iowa Panthers,125,-15.5,OVER,141,134.5,129.5,142.5,138,146,15.752778279730336,9.250623355751713,4.240134940927703,17.30816650390625,20.787346889491346,12.501700817741039,16.3,1543.7479484087444,1403.5878220409377,277.0390037203981,1624.5734234547383,1347.5344197343404,77.28946567159873,68.74788121789264
2,2026-03-05,401851543,Bucknell Bison,Navy Midshipmen,134.5,-16.25,OVER,140,144,137,145,142,147,5.47355781259472,9.456159402159074,2.5815717323143303,10.571807861328125,12.604284759384484,7.464858607376897,10.8,1623.9526003755311,1422.2131754069076,390.1573563443287,1705.83236238497,1315.6750060406414,79.37867023424484,67.72561452513966
3,2026-03-05,401851544,American University Eagles,Boston University Terriers,140,-1.5,OVER,140.5,151.5,143,144.5,146,149,0.51932000117813,11.702819848777693,3.1934108342423997,4.3883056640625,8.827462705283438,6.111069924977926,9.1,1503.334966798387,1486.752324790297,2.739072408305219,1525.139703770965,1522.40063136266,74.64113093559003,74.18633176969342
4,2026-03-05,401851485,Drake Bulldogs,Southern Illinois Salukis,136,-4.75,OVER,143,141.5,133,141.5,142,149.5,6.9700952426418326,5.528821196194173,-2.830570413930076,5.649139404296875,13.600501536525599,6.249458219417988,9,1541.7474745013571,1434.750022574807,149.4691698710992,1577.234271620565,1427.765101749466,78.14751216305716,71.45298937346844
5,2026-03-05,401823271,Cal State Northridge Matadors,Cal State Bakersfield Roadrunners,165,7.5,UNDER,159,160,162.5,132,159.5,146,-5.757195098104518,-5.0410321673958265,-2.419141468340854,-33.20298767089844,-18.871225483289436,-5.399113632750186,8.9,1387.785371546475,1538.719721574353,-337.7904873313969,1283.7244904835013,1621.5149778148982,68.77744241680305,77.3513320999075
6,2026-03-05,401809103,UC San Diego Tritons,Cal State Fullerton Titans,157,4,UNDER,150.5,151,155,163,150.5,147.5,-6.268894698656055,-5.761432894131531,-1.8684179624418107,6.183807373046875,-9.361470258980773,-6.015163796393779,8.9,1518.767075440851,1573.9227975124095,-56.267246540552605,1564.737689516851,1621.004936057404,73.78085401002507,73.60767573099415
7,2026-03-05,401851486,Indiana State Sycamores,Valparaiso Beacons,137,-3.5,OVER,141,142.5,142,141.5,141.5,149,4.200873496626144,5.569852184947365,5.197155530736609,4.899139404296875,12.44277465825445,4.88536284078674,8.3,1521.645002510066,1438.3510714983113,171.72690346305603,1585.6897029949675,1413.9627995319115,77.23387712933754,71.95889752891692
8,2026-03-05,401851546,Holy Cross Crusaders,Lehigh Mountain Hawks,142,-6.5,OVER,144.5,149.5,143,139,147,149.5,2.651026540717254,7.5119283894214846,1.4497261898329157,-2.612396240234375,7.923505135966195,5.0814774650693835,7.7,1491.3281747987555,1422.025351040255,141.6849147327364,1474.3509477427535,1332.6660330100171,77.01551924185645,72.65798589410974
9,2026-03-05,401828259,Tulane Green Wave,Temple Owls,145,-4.75,OVER,145,152.5,147.5,148,148.5,148,0.30854634421936566,7.573682471057168,2.725830072026014,3.095367431640625,3.200325333637693,3.941114407638281,7.1,1496.5806950896529,1526.262006060612,-0.22416689405008583,1517.8628655533394,1518.0870324473894,72.98348021760633,74.96684511603135
10,2026-03-05,401804962,Middle Tennessee Blue Raiders,Florida International Panthers,154,-1.5,UNDER,147,156.5,149.5,143.5,151.5,149,-6.975408162373782,2.5547145629452643,-4.348263838590469,-10.492965698242188,-4.6576847400303905,-2.210346799714273,7.1,1495.1513290383057,1521.7092111304498,-39.626034875782125,1490.4638939820547,1530.0899288578369,74.17502147398164,74.91729378598798
11,2026-03-05,401851456,Manhattan Jaspers,Fairfield Stags,149,-6,UNDER,143,154.5,150,138,148.5,147,-5.8914017475927665,5.589321429030548,1.4235483461198442,-10.6424560546875,-1.9087597140380126,-0.15104015928110925,7.1,1549.4283555352677,1462.5940746381073,188.6753218557681,1606.2102064392566,1417.5348845834883,75.35754195350917,71.48369833245282
12,2026-03-05,401805213,Utah Valley Wolverines,Southern Utah Thunderbirds,151,9,UNDER,142.5,153,144,158,147.5,147.5,-8.478436037136305,1.862375380487947,-6.813564231461669,7.2475128173828125,-3.5608774733145196,-3.308030328324179,7.1,1451.8698884222797,1617.4094896631143,-309.648047340326,1423.29911395067,1732.947161290996,68.77983451858356,78.65928800810191
13,2026-03-05,401827106,Grambling Tigers,Alabama State Hornets,144,-3.5,UNDER,141,139,138.5,153,140,149,-3.308021200758674,-5.359365062537449,-5.861656829404126,8.745635986328125,4.640391321022662,-4.333693131648062,6.9,1432.9381801922325,1438.16925105141,4.563223332528878,1397.1926825080384,1392.6294591755095,74.39018770072434,74.50020362029834
14,2026-03-05,401804961,Western Kentucky Hilltoppers,Missouri State Bears,153,2.25,UNDER,149,150.5,151.5,133.5,150,148.5,-3.9610109161808396,-2.2892797170794097,-1.662309513606715,-19.441604614257812,-4.547925938816377,-3.1251453166301246,6.7,1467.995715845188,1548.9065343682887,-119.82128340178453,1491.6723689035252,1611.4936523053098,72.8431037993529,75.60897026183073
15,2026-03-05,401829290,South Carolina State Bulldogs,North Carolina Central Eagles,143.5,-7.5,UNDER,138.5,149,135.5,136.5,144,149,-4.923394008051332,5.488801960287162,-7.9988128728703884,-7.194549560546875,5.462872061030026,0.2827039761179151,6.6,1472.5216745352288,1416.480230426156,103.68120937546246,1428.2528150285264,1324.571605653064,76.3644665610635,72.59840549996655
16,2026-03-05,401809151,UC Riverside Highlanders,Hawai'i Rainbow Warriors,149,-11.5,OVER,151.5,154,154.5,144,153,147,2.6891139884992015,5.318294806710014,5.732702467239221,-4.8499755859375,-1.5920486142787809,4.003704397604622,6.5,1597.298649761207,1429.7101034542386,250.60077533141632,1638.6330694778862,1388.03229414647,79.73846872969798,67.41948265602322
17,2026-03-05,401804960,Kennesaw State Owls,UTEP Miners,147,2.5,UNDER,142,146.5,146.5,138.5,144.5,150,-5.1090627668329205,-0.6860064865791742,-0.806477789603889,-8.5282135009765625,2.8870551141575334,-2.897534626706033,6.4,1426.731436749569,1537.3958400078116,-172.49581969646192,1411.9188360366363,1584.4146557330985,69.86658555144177,80.27046956271576
18,2026-03-05,401825561,Rutgers Scarlet Knights,Michigan State Spartans,141,-19.5,OVER,143,147.5,132,137,145.5,147,1.793304518552418,6.732260357352459,-8.7619407920811625,-4.22784423828125,5.97533637899096,4.262782437952438,6.1,1630.318987354575,1460.6863162533014,326.3829490496423,1752.300563165985,1425.9176141163427,78.63057508989866,68.3447612890923
19,2026-03-05,401823056,Delaware State Hornets,Maryland Eastern Shore Hawks,125.5,-6.5,OVER,132.5,125.5,127,135,129,146,6.908177044345194,-0.036248534929555376,1.4386289746559555,9.362030029296875,20.664098097166004,3.4359642547078124,6,1426.4447542217197,1361.249507130649,124.4393496947814,1387.4619524925092,1263.0226027977278,75.29992307692308,70.86417502024293
20,2026-03-05,401828260,South Florida Bulls,Memphis Tigers,160,6.5,UNDER,156,159.5,156.5,151.5,157.5,147.5,-4.0866009648975705,-0.5152915410180299,-3.4047837817755067,-8.49603271484375,-12.32002013019175,-2.3009462529578,6,1473.677879197268,1606.7774193046334,-241.3688097122192,1513.2830336582326,1754.6518433704518,69.94647565626548,77.73350421354277
21,2026-03-05,401827038,Southern Jaguars,Alabama A&M Bulldogs,148.5,1.5,UNDER,147,145.5,138.5,143.5,146,149,-1.5609846996833028,-3.1051209681423586,-9.871065201001102,-4.9547119140625,0.3562217999894415,-2.3330528339128307,5.5,1512.061412195177,1479.382423156806,28.435125068213665,1498.941157986331,1470.5060329181174,74.61067697875086,74.2455448212386
22,2026-03-05,401851545,Loyola Maryland Greyhounds,Colgate Raiders,152,-6.5,UNDER,147.5,164,143,138,156,148.5,-4.506962345262195,12.158222209093026,-8.937271053146162,-13.8924560546875,-3.475023596964263,3.8256299319154152,5.4,1519.9749591872192,1449.3303723704869,153.0242369374282,1556.999130067257,1403.9748931298288,76.05846969025973,72.46650671277602
23,2026-03-05,401804957,Sam Houston Bearkats,Delaware Blue Hens,148,6.75,UNDER,143,152.5,148.5,158,148,147,-4.865203945421143,4.480558635714914,0.4297144332706466,10.247512817382812,-1.2466362447813708,-0.19232265485311473,5.4,1444.4744476251185,1604.1803595649872,-281.40691807441544,1418.3917896268429,1699.7987077012583,68.19080531751264,78.562558437706
24,2026-03-05,401828670,Mississippi Valley State Delta Devils,Jackson State Tigers,145,-10.5,OVER,147,149.5,134.5,134.5,148.5,148.5,2.23475454649963,4.440624813401797,-10.499235298679565,-10.599105834960938,3.2631533923303664,3.3376896799506994,5.3,1457.493039564963,1328.4464527239036,223.2151067154589,1369.995294627529,1146.7801879120698,78.05622418879057,70.20692920353981
25,2026-03-05,401809121,Cal Poly Mustangs,UC Irvine Anteaters,156,-9.5,UNDER,155,152.5,142.5,143,154,147.5,-0.5817085961224961,-3.2988730950445415,-13.46298626606199,-12.623748779296875,-8.397407752833715,-1.9402908455835188,5.3,1579.7190284233125,1498.0756524222377,103.41810561877264,1646.8393293073736,1543.421223688601,74.96209053042809,72.3905017167382
