rank,date,game_id,away_team,home_team,market_total,market_spread_home,bet,ridge_pred_total,recency_pred_total,from_team_pred_total,xgb_elo_pred_total,ensemble_pred_total,elo_sim_pred_total,ridge_edge,recency_edge,from_team_edge,xgb_elo_edge,elo_sim_edge,ens_edge,brain_score,line_move_total,line_move_pts,n_snapshots,home_elo_pre,away_elo_pre,elo_diff,pre_elo_home,pre_elo_away,pred_home_pts,pred_away_pts
1,2026-03-10,401851467,Siena Saints,Merrimack Warriors,128,-2.75,OVER,135.5,142,128.5,143.5,139,146.5,7.382620217473374,14.167332000574618,0.5210185388404511,15.285446166992188,18.637241914191407,10.77497610902401,13.9,NA,0,NA,1604.6944464853982,1583.176307868951,69.37602012116736,1726.693589041911,1657.3175689207435,73.5748894939494,73.06235242024202
2,2026-03-10,401851285,Kansas State Wildcats,BYU Cougars,167,-10.5,UNDER,155,170.5,151.5,139,163,151,-11.962909835910978,3.629936547650715,-15.504484206213533,-27.967666625976562,-16.155133240401312,-4.166486644130174,10.4,NA,0,NA,1569.742513695734,1451.5493601852,222.4445755493373,1655.270176127191,1432.8256005778535,78.48243576959017,72.36243099000852
3,2026-03-10,401851287,Oklahoma State Cowboys,Colorado Buffaloes,165,-2,UNDER,154,169,150.5,145,161.5,151,-11.24293160184277,4.145802870546049,-14.492762888976955,-20.105239868164062,-13.945574891774868,-3.5485643656483603,10.2,NA,0,NA,1518.4017340637258,1513.781976374568,67.82596939154678,1585.8499195949137,1518.023950203367,75.19945079992472,75.8549743083004
4,2026-03-10,401851202,UMass Lowell River Hawks,UMBC Retrievers,146,-6.5,UNDER,138.5,138.5,149,145.5,138.5,147,-7.297478283463732,-7.676418801534453,2.846909472200764,-0.4773406982421875,1.1665130527060512,-7.4869485424990785,9.9,NA,0,NA,1597.168978327888,1490.7327281005807,213.37693386093815,1718.7791414877606,1505.4022076268225,76.18908503714185,70.9774280155642
5,2026-03-10,401851282,Baylor Bears,Arizona State Sun Devils,157,3.5,UNDER,148.5,153.5,150.5,145.5,151,150,-8.570432109402361,-3.610441381556427,-6.735540367840031,-11.508895874023438,-7.229423117137969,-6.090436745479394,9.8,NA,0,NA,1517.797803745988,1507.3158041990812,43.49836196999854,1582.0685383583996,1538.570176388401,75.06564575443838,74.70493112842367
6,2026-03-10,401851406,New Mexico State Aggies,Jacksonville State Gamecocks,142,1.5,OVER,146,151,143,143.5,148.5,146,4.032232964819485,9.171089552788573,1.4032941820722726,1.5070343017578125,4.3240926827829185,6.601661258804029,9.8,NA,0,NA,1489.927179572803,1502.273319258823,-30.44699251974953,1510.703703886246,1541.1506964059956,72.49016802795057,73.58392465483234
7,2026-03-10,401851362,Maryland Terrapins,Oregon Ducks,139.5,-3.5,UNDER,136.5,129,133,141,133,143,-2.790461556079805,-10.527679030058039,-6.63566034377385,1.315521240234375,3.496960401002525,-6.659070293068908,8.9,NA,0,NA,1467.1889835462428,1438.3365274080113,71.77578766889928,1484.9505549860298,1413.1747673171303,71.91259427139278,71.08436612960973
8,2026-03-10,401851170,Pittsburgh Panthers,Stanford Cardinal,139,-4.5,OVER,141,145,141,139.5,143,148.5,1.7915295697182785,5.995278732351181,1.8055980560430953,0.4365386962890625,9.723558183003718,3.89340415103473,7.2,NA,0,NA,1567.4656482557632,1443.3141916308384,179.37210284979005,1645.9940544930275,1466.6219516432377,77.21625140911397,71.50730677388974
9,2026-03-10,401851405,Missouri State Bears,Florida International Panthers,154,-1.5,UNDER,149,152.5,148.5,143,150.5,147,-5.165853490510955,-1.7007887332405005,-5.518806982092144,-10.7579345703125,-7.238083686684604,-3.4333211118757276,7.1,NA,0,NA,1494.022342553171,1468.426245159013,51.68695729037063,1534.776197372024,1483.089240081653,73.86381783072216,72.89809848259324
10,2026-03-10,401851363,Penn State Nittany Lions,Northwestern Wildcats,148.5,-6.5,UNDER,142.5,151.5,133,139,147,146,-5.984457173610423,2.997574019320922,-15.390917536892914,-9.362396240234375,-2.338521551717804,-1.4934415771447505,6.8,NA,0,NA,1480.3847004406473,1439.5956279526438,167.7936143549996,1511.5915481581997,1343.7979338032,74.54365901666948,71.6178194316127
11,2026-03-10,401851171,Syracuse Orange,SMU Mustangs,158,-4.5,UNDER,156,152.5,157.5,143,154.5,149.5,-1.5006006755003796,-5.0265461026087905,-0.40980655763144114,-14.883193969726562,-8.365852095484598,-3.2635733890546135,6.6,NA,0,NA,1529.0107389544537,1511.269330288459,50.354902219201904,1598.891786508015,1548.536884288813,75.58702715679496,73.79712074772044
12,2026-03-10,401851172,Wake Forest Demon Deacons,Virginia Tech Hokies,152,-2.5,UNDER,148.5,147.5,157,143,148,148.5,-3.4336061599520065,-4.104311302258907,5.239409073225062,-8.8831939697265625,-3.1724738840598263,-3.7689587311054424,6.4,NA,0,NA,1536.1978994259614,1526.1473196181728,33.52281054775017,1618.0468885432244,1584.5240779954745,74.35015291919919,74.22737319674096
13,2026-03-10,401851204,NJIT Highlanders,Vermont Catamounts,137,-11.5,OVER,138,140,133,139,139,146.5,1.4741157761926047,3.2450342528964597,-3.5009058902178367,2.2823333740234375,9.760770010981332,2.3595750145445322,4.9,NA,0,NA,1566.7999363467368,1496.1447293186152,197.79387246392412,1631.230036318721,1433.4361638547969,75.0339344614156,71.47683554956573
14,2026-03-10,401851521,Mercyhurst Lakers,Long Island University Sharks,137,-5.5,UNDER,134.5,148.5,136,142,141.5,146,-2.453586462038487,11.455646755207994,-0.8324334027533666,4.80303955078125,9.007143667314267,4.501030146584753,3.3,NA,0,NA,1592.5372280854624,1512.3089860585178,95.54105100176456,1661.141287382318,1565.6002363805535,74.22883474882043,71.77830891849385
