run_time,game_id,away_team,home_team,market_total,market_spread_home
2026-03-17T01:57:39,401856435,UMBC Retrievers,Howard Bison,140.75,1
2026-03-17T01:57:39,401856434,Texas Longhorns,NC State Wolfpack,158.5,-1
2026-03-17T01:57:39,401858195,Liberty Flames,George Mason Patriots,144.5,-5.25
2026-03-17T01:57:39,401858340,UNC Wilmington Seahawks,Yale Bulldogs,147,-5
2026-03-17T01:57:39,401858338,Wyoming Cowboys,Wichita State Shockers,148.25,-6.5
2026-03-17T01:57:39,401858339,Davidson Wildcats,Oklahoma State Cowboys,156,-8.5
2026-03-17T01:57:39,401858196,Stephen F. Austin Lumberjacks,Tulsa Golden Hurricane,154.5,-7.5
2026-03-17T01:57:39,401858194,St. Thomas-Minnesota Tommies,Seattle U Redhawks,147,-2.5
2026-03-17T01:57:39,401858193,South Alabama Jaguars,Auburn Tigers,154,-17.5
2026-03-17T01:57:39,401858197,UNLV Rebels,UC Irvine Anteaters,152.5,-2.75
