rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,elo_diff_04,market_spread_home
1,2026-03-05,401851456,Manhattan Jaspers,Fairfield Stags,Fairfield Stags -5.5,Fairfield Stags -5.5,Fairfield Stags -24,19,39,19,24,13.5,33.5,13.5,18.5,2.8,1.5,0.6,0,18.5,23.4,188.6753218557681,-5.5
2,2026-03-05,401851746,San Diego Toreros,Loyola Marymount Lions,Loyola Marymount Lions -5.5,Loyola Marymount Lions -5.5,Loyola Marymount Lions -21,18.5,28.5,18.5,21,13,23,13,15.5,2.8,1.5,0.6,0,15.5,20.5,100.78824163001856,-5.5
3,2026-03-05,401851543,Bucknell Bison,Navy Midshipmen,Navy Midshipmen -15.5,Navy Midshipmen -15.5,Navy Midshipmen -28.5,32,16.5,32,28.5,16.5,1,16.5,13,2.8,1.5,0.6,0,13,17.6,390.1573563443287,-15.5
4,2026-03-05,401851485,Drake Bulldogs,Southern Illinois Salukis,Southern Illinois Salukis -5,Southern Illinois Salukis -5,Southern Illinois Salukis -17.5,14,27,14,17.5,9.5,22,9.5,12.5,2.8,1.5,0.6,0,12.5,17.5,149.4691698710992,-4.75
5,2026-03-05,401851544,American University Eagles,Boston University Terriers,Boston University Terriers -1.5,Boston University Terriers -1.5,Boston University Terriers -13,8.5,27,8.5,13,7,25.5,7,11.5,2.8,1.5,0.6,0,11.5,16.4,2.739072408305219,-1.5
6,2026-03-05,401851546,Holy Cross Crusaders,Lehigh Mountain Hawks,Lehigh Mountain Hawks -6.5,Lehigh Mountain Hawks -6.5,Lehigh Mountain Hawks -18,18.5,17,18.5,18,12,10.5,12,11.5,2.8,1.5,0.6,0,11.5,16.3,141.6849147327364,-6.5
7,2026-03-05,401827082,Prairie View A&M Panthers,Texas Southern Tigers,Texas Southern Tigers -2.5,Texas Southern Tigers -2.5,Texas Southern Tigers -13.5,10.5,22,10.5,13.5,8,19.5,8,11,2.8,1.5,0.6,0,11,15.9,65.16896283114147,-2.5
8,2026-03-05,401827152,Arkansas-Pine Bluff Golden Lions,Alcorn State Braves,Alcorn State Braves +2.5,Alcorn State Braves +2.5,Alcorn State Braves -7.5,8.5,3,8.5,7.5,11,5.5,11,10,2.8,1.5,0.6,0,10,14.7,-89.19201179891184,2.5
9,2026-03-05,401828260,South Florida Bulls,Memphis Tigers,Memphis Tigers +6.5,South Florida Bulls -6.5,South Florida Bulls -19,-23,-6,-23,-19,-16.5,0.5,-16.5,-12.5,1,0,0.6,0,12.5,14.2,-241.3688097122192,6.5
10,2026-03-05,401851486,Indiana State Sycamores,Valparaiso Beacons,Valparaiso Beacons -3.5,Valparaiso Beacons -3.5,Valparaiso Beacons -12.5,12,14,12,12.5,8.5,10.5,8.5,9,2.8,1.5,0.6,0,9,13.9,171.72690346305603,-3.5
11,2026-03-05,401804961,Western Kentucky Hilltoppers,Missouri State Bears,Missouri State Bears +2.5,Western Kentucky Hilltoppers -2.5,Western Kentucky Hilltoppers -13,-18.5,3,-18.5,-13,-16,5.5,-16,-10.5,1,0,0.6,1.1,10.5,13.8,-119.82128340178453,2.5
12,2026-03-05,401823056,Delaware State Hornets,Maryland Eastern Shore Hawks,Maryland Eastern Shore Hawks -7,Maryland Eastern Shore Hawks -7,Maryland Eastern Shore Hawks -15.5,18.5,7,18.5,15.5,11.5,0,11.5,8.5,2.8,1.5,0.6,0,8.5,13.4,124.4393496947814,-7
13,2026-03-05,401804958,Louisiana Tech Bulldogs,Liberty Flames,Liberty Flames -9.5,Louisiana Tech Bulldogs +9.5,Liberty Flames -1,-1.5,8.5,-1.5,1,-11,-1,-11,-8.5,2.8,1.5,0.6,0,8.5,13.3,157.4578998325851,-9.5
14,2026-03-05,401851622,South Dakota State Jackrabbits,St. Thomas-Minnesota Tommies,St. Thomas-Minnesota Tommies -6,St. Thomas-Minnesota Tommies -6,St. Thomas-Minnesota Tommies -14.5,13,19.5,13,14.5,6.5,13.5,6.5,8.5,2.8,1.5,0.6,0,8.5,13.2,200.62021010259787,-6.25
15,2026-03-05,401823271,Cal State Northridge Matadors,Cal State Bakersfield Roadrunners,Cal State Bakersfield Roadrunners +7.5,Cal State Northridge Matadors -7.5,Cal State Northridge Matadors -15,-17,-9.5,-17,-15,-9.5,-2,-9.5,-7.5,2.8,1.5,0.6,0,7.5,12.4,-337.7904873313969,7.5
16,2026-03-05,401827106,Grambling Tigers,Alabama State Hornets,Alabama State Hornets -3.5,Alabama State Hornets -3.5,Alabama State Hornets -9.5,9.5,10,9.5,9.5,6,6.5,6,6,2.8,1.5,0.6,0,6,11,4.563223332528878,-3.5
