rank,date,game_id,away_team,home_team,market_spread_str,pick,model_spread_str,pred_margin_04,pred_margin_09,pred_margin_10,pred_margin_blend,edge_04,edge_09,edge_10,edge_blend,agree_bonus,all3_agree_bonus,hit_bonus,disagree_pen,edge_pts,brain_score,line_move_spread,line_move_pts,n_snapshots,elo_diff_04,market_spread_home
1,2026-03-10,401851287,Oklahoma State Cowboys,Colorado Buffaloes,Colorado Buffaloes -2,Colorado Buffaloes -2,Colorado Buffaloes -13.5,-0.5,21.5,16.5,13.5,-2.5,19.5,14.5,11.5,0.8,0,0.6,0,11.5,14.2,NA,0,NA,67.82596939154678,-2
2,2026-03-10,401851204,NJIT Highlanders,Vermont Catamounts,Vermont Catamounts -11.5,Vermont Catamounts -11.5,Vermont Catamounts -19.5,1,27.5,25,19.5,-10.5,16,13.5,8,0.8,0,0.6,2.1,8,12.8,NA,0,NA,197.79387246392412,-11.5
3,2026-03-10,401851283,Utah Utes,Cincinnati Bearcats,Cincinnati Bearcats -10.5,Cincinnati Bearcats -10.5,Cincinnati Bearcats -20.5,6,13,31,20.5,-4.5,2.5,20.5,10,0.8,0,0.6,0.9,10,12.5,NA,0,NA,332.8824475964302,-10.5
4,2026-03-10,401851282,Baylor Bears,Arizona State Sun Devils,Arizona State Sun Devils +3.5,Arizona State Sun Devils +3.5,Arizona State Sun Devils -4,-3.5,6.5,6.5,4,0,10,10,7.5,2.8,1.5,0.6,0,7.5,12.4,NA,0,NA,43.49836196999854,3.5
5,2026-03-10,401851202,UMass Lowell River Hawks,UMBC Retrievers,UMBC Retrievers -6.5,UMBC Retrievers -6.5,UMBC Retrievers -15.5,2.5,9.5,25.5,15.5,-4,3,19,9,0.8,0,0.6,0.8,9,11.7,NA,0,NA,213.37693386093815,-6.5
6,2026-03-10,401851171,Syracuse Orange,SMU Mustangs,SMU Mustangs -4.5,SMU Mustangs -4.5,SMU Mustangs -11.5,0,27.5,9.5,11.5,-4.5,23,5,7,0.8,0,0.6,0.9,7,9.8,NA,0,NA,50.354902219201904,-4.5
7,2026-03-10,401851363,Penn State Nittany Lions,Northwestern Wildcats,Northwestern Wildcats -6.5,Northwestern Wildcats -6.5,Northwestern Wildcats -11,-1.5,15.5,15.5,11,-8,9,9,4.5,0.8,0,0.6,1.6,4.5,8.4,NA,0,NA,167.7936143549996,-6.5
8,2026-03-10,401851405,Missouri State Bears,Florida International Panthers,Florida International Panthers -1.5,Missouri State Bears +1.5,Missouri State Bears -2.5,-3.5,4,-5.5,-2.5,-5,2.5,-7,-4,1,0,0.6,0,4,7.1,NA,0,NA,51.68695729037063,-1.5
9,2026-03-10,401851285,Kansas State Wildcats,BYU Cougars,BYU Cougars -10.5,Kansas State Wildcats +10.5,BYU Cougars -8.5,7,21.5,2.5,8.5,-3.5,11,-8,-2,1,0,0.6,2.2,2,7.1,NA,0,NA,222.4445755493373,-10.5
10,2026-03-10,401851406,New Mexico State Aggies,Jacksonville State Gamecocks,Jacksonville State Gamecocks +1.5,Jacksonville State Gamecocks +1.5,Jacksonville State Gamecocks -2,-6.5,6,4.5,2,-5,7.5,6,3.5,0.8,0,0.6,1,3.5,6.5,NA,0,NA,-30.44699251974953,1.5
11,2026-03-10,401851362,Maryland Terrapins,Oregon Ducks,Oregon Ducks -3.5,Oregon Ducks -3.5,Oregon Ducks -6.5,-4,4,12.5,6.5,-7.5,0.5,9,3,0.8,0,0.6,1.5,3,6.3,NA,0,NA,71.77578766889928,-3.5
12,2026-03-10,401851521,Mercyhurst Lakers,Long Island University Sharks,Long Island University Sharks -5.5,Mercyhurst Lakers +5.5,Long Island University Sharks -1.5,-3,6,2,1.5,-8.5,0.5,-3.5,-4,1,0,0.6,0,4,5.6,NA,0,NA,95.54105100176456,-5.5
13,2026-03-10,401851467,Siena Saints,Merrimack Warriors,Merrimack Warriors -3,Merrimack Warriors -3,Merrimack Warriors -5.5,-2,5,9,5.5,-5,2.5,6.5,2.5,0.8,0,0.6,1,2.5,5.3,NA,0,NA,69.37602012116736,-2.75
14,2026-03-10,401851170,Pittsburgh Panthers,Stanford Cardinal,Stanford Cardinal -4.5,Stanford Cardinal -4.5,Stanford Cardinal -7,2.5,7,9.5,7,-2,2.5,5,2.5,0.8,0,0.6,0,2.5,4.9,NA,0,NA,179.37210284979005,-4.5
15,2026-03-10,401851172,Wake Forest Demon Deacons,Virginia Tech Hokies,Virginia Tech Hokies -2.5,Virginia Tech Hokies -2.5,Virginia Tech Hokies -4,-4,9,5.5,4,-6.5,6.5,3,1.5,0.8,0,0.6,1.3,1.5,4.7,NA,0,NA,33.52281054775017,-2.5
