rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo,elo_diff
1,2026-03-10,401851363,Northwestern Wildcats,home,77.5,UNDER,61,81.5,74.5,-16.640729325413105,4.145570472071313,11.6,1480.3847004406473,1439.5956279526438,167.7936143549996
2,2026-03-10,401851285,BYU Cougars,home,89,UNDER,72,90,78.5,-16.91148701399368,1.1304235759370727,10.6,1569.742513695734,1451.5493601852,222.4445755493373
3,2026-03-10,401851287,Oklahoma State Cowboys,away,81.5,UNDER,70.5,84.5,76,-11.113340993985716,2.895635125095538,7.8,1513.781976374568,1518.4017340637258,67.82596939154678
4,2026-03-10,401851362,Maryland Terrapins,away,68,UNDER,61.5,64,71,-6.3058931894758246,-3.9340349121759033,5.4,1438.3365274080113,1467.1889835462428,71.77578766889928
5,2026-03-10,401851282,Baylor Bears,away,80,UNDER,73.5,82,74.5,-6.606114091336963,1.5184218768968805,4.6,1507.3158041990812,1517.797803745988,43.49836196999854
6,2026-03-10,401851521,Mercyhurst Lakers,away,66,OVER,66,76.5,72,0.2638964168117468,10.676139694328185,4.4,1512.3089860585178,1592.5372280854624,95.54105100176456
7,2026-03-10,401851171,Syracuse Orange,away,76.5,UNDER,72,73,74,-4.464813056747772,-3.6536321494238138,4.1,1511.269330288459,1529.0107389544537,50.354902219201904
8,2026-03-10,401851283,Cincinnati Bearcats,home,75,UNDER,70.5,78,77,-4.956164817015264,2.75761534465272,4.1,1539.1746051979364,1416.3245436827174,332.8824475964302
9,2026-03-10,401851172,Wake Forest Demon Deacons,away,74.5,OVER,80,73,74,5.333043311714178,-1.8530816907700682,3.9,1526.1473196181728,1536.1978994259614,33.52281054775017
10,2026-03-10,401851406,New Mexico State Aggies,away,71.5,OVER,73,78.5,73.5,1.175905717700516,7.1148953549438545,3.6,1502.273319258823,1489.927179572803,-30.44699251974953
11,2026-03-10,401851202,UMass Lowell River Hawks,away,70,OVER,74.5,60,71,4.585015341559696,-9.937699191783544,3.2,1490.7327281005807,1597.168978327888,213.37693386093815
12,2026-03-10,401851171,SMU Mustangs,home,81,OVER,85,80,75.5,4.055006499116317,-1.3729139531849626,3,1529.0107389544537,1511.269330288459,50.354902219201904
13,2026-03-10,401851170,Stanford Cardinal,home,72,OVER,73.5,75.5,77,1.95645860010886,3.9975959505662644,2.8,1567.4656482557632,1443.3141916308384,179.37210284979005
14,2026-03-10,401851362,Oregon Ducks,home,71.5,UNDER,71,65,72,-0.3297671542980112,-6.593644117882121,2.8,1467.1889835462428,1438.3365274080113,71.77578766889928
15,2026-03-10,401851204,NJIT Highlanders,away,62.5,UNDER,59.5,64.5,71.5,-3.1766393072170374,2.0105054500299815,2.7,1496.1447293186152,1566.7999363467368,197.79387246392412
16,2026-03-10,401851287,Colorado Buffaloes,home,83.5,UNDER,80,85,75,-3.379421894991239,1.2501677454504971,2.5,1518.4017340637258,1513.781976374568,67.82596939154678
17,2026-03-10,401851405,Missouri State Bears,away,76,UNDER,72.5,77,73,-3.588752950021984,0.8693437007246274,2.5,1468.426245159013,1494.022342553171,51.68695729037063
18,2026-03-10,401851467,Siena Saints,away,62.5,OVER,63,67.5,73,0.6017093111343144,5.010254945583512,2.4,1583.176307868951,1604.6944464853982,69.37602012116736
19,2026-03-10,401851405,Florida International Panthers,home,78,UNDER,76,75,74,-1.9300540320701458,-2.570132433965128,2.2,1494.022342553171,1468.426245159013,51.68695729037063
20,2026-03-10,401851282,Arizona State Sun Devils,home,77,UNDER,76.5,71.5,75,-0.12942627650308225,-5.128863258453322,2.1,1517.797803745988,1507.3158041990812,43.49836196999854
21,2026-03-10,401851202,UMBC Retrievers,home,76,UNDER,74.5,78.5,76,-1.7381058693589324,2.261280390249084,1.9,1597.168978327888,1490.7327281005807,213.37693386093815
22,2026-03-10,401851285,Kansas State Wildcats,away,78,OVER,79.5,80.5,72.5,1.4070028077801595,2.499512971713642,1.8,1451.5493601852,1569.742513695734,222.4445755493373
23,2026-03-10,401851363,Penn State Nittany Lions,away,71,OVER,72,70,71.5,1.249811788520205,-1.147996452750391,1.2,1439.5956279526438,1480.3847004406473,167.7936143549996
24,2026-03-10,401851172,Virginia Tech Hokies,home,77,UNDER,77,75,74.5,-0.09363423848911623,-2.251229611488853,1,1536.1978994259614,1526.1473196181728,33.52281054775017
25,2026-03-10,401851406,Jacksonville State Gamecocks,home,70,OVER,70.5,72,72.5,0.22738846437175653,2.056194197844718,1,1489.927179572803,1502.273319258823,-30.44699251974953
26,2026-03-10,401851521,Long Island University Sharks,home,71,UNDER,70,72,74,-1.0963298195651134,0.7795070608798085,1,1592.5372280854624,1512.3089860585178,95.54105100176456
27,2026-03-10,401851170,Pittsburgh Panthers,away,67,UNDER,67,69,71.5,-0.15086054406575045,1.997682781784917,0.9,1443.3141916308384,1567.4656482557632,179.37210284979005
28,2026-03-10,401851204,Vermont Catamounts,home,74,UNDER,74,75.5,75,-0.32426658300080646,1.234528802866464,0.7,1566.7999363467368,1496.1447293186152,197.79387246392412
29,2026-03-10,401851467,Merrimack Warriors,home,65.5,UNDER,65.5,74.5,73.5,-0.08069077229387744,9.15707705499112,0.5,1604.6944464853982,1583.176307868951,69.37602012116736
30,2026-03-10,401851283,Utah Utes,away,65,UNDER,64.5,65.5,69.5,-0.11284839302300043,0.6105783653637502,0.3,1416.3245436827174,1539.1746051979364,332.8824475964302
